classId,label,numberOfOccurences
DB00142,'L-Glutamic Acid',4
DB00143,'Glutathione',4
DB00144,'Phosphatidylserine',4
DB00145,'Glycine',35
DB00146,'Calcidiol',69
DB00147,'Pyridoxal',4
DB00148,'Creatine',14
DB00149,'L-Leucine',4
DB00150,'L-Tryptophan',17
DB00151,'L-Cysteine',4
DB00152,'Thiamine',11
DB00153,'Ergocalciferol',69
DB00154,'gamma-Homolinolenic acid',10
DB00155,'L-Citrulline',4
DB00156,'L-Threonine',4
DB00157,'NADH',4
DB00158,'Folic Acid',4
DB00159,'Icosapent',235
DB00160,'L-Alanine',22
DB00161,'L-Valine',4
DB00162,'Vitamin A',4
DB00163,'Vitamin E',4
DB00165,'Pyridoxine',46
DB00166,'Lipoic Acid',4
DB00167,'L-Isoleucine',4
DB00168,'Aspartame',34
DB00169,'Cholecalciferol',69
DB00170,'Menadione',109
DB00171,'Adenosine triphosphate',90
DB00172,'L-Proline',4
DB00173,'Adenine',4
DB00174,'L-Asparagine',4
DB00175,'Pravastatin',23
DB00176,'Fluvoxamine',41
DB00177,'Valsartan',45
DB00178,'Ramipril',29
DB00179,'Masoprocol',19
DB00180,'Flunisolide',16
DB00181,'Baclofen',34
DB00182,'Amphetamine',66
DB00183,'Pentagastrin',41
DB00184,'Nicotine',82
DB00185,'Cevimeline',30
DB00186,'Lorazepam',33
DB00187,'Esmolol',44
DB00188,'Bortezomib',28
DB00189,'Ethchlorvynol',18
DB00190,'Carbidopa',13
DB00191,'Phentermine',51
DB00192,'Indecainide',44
DB00193,'Tramadol',184
DB00195,'Betaxolol',72
DB00197,'Troglitazone',207
DB00198,'Oseltamivir',12
DB00200,'Hydroxocobalamin',4
DB00201,'Caffeine',35
DB00202,'Succinylcholine',33
DB00203,'Sildenafil',34
DB00204,'Dofetilide',39
DB00205,'Pyrimethamine',18
DB00206,'Reserpine',12
DB00208,'Ticlopidine',10
DB00209,'Trospium',30
DB00210,'Adapalene',122
DB00211,'Midodrine',50
DB00212,'Remikiren',16
DB00213,'Pantoprazole',36
DB00214,'Torasemide',22
DB00215,'Citalopram',41
DB00216,'Eletriptan',110
DB00217,'Bethanidine',145
DB00218,'Moxifloxacin',54
DB00219,'Oxyphenonium',30
DB00221,'Isoetharine',44
DB00222,'Glimepiride',105
DB00223,'Diflorasone',16
DB00226,'Guanadrel Sulfate',29
DB00227,'Lovastatin',23
DB00228,'Enflurane',171
DB00230,'Pregabalin',32
DB00231,'Temazepam',33
DB00232,'Methyclothiazide',34
DB00233,'Aminosalicylic Acid',69
DB00234,'Reboxetine',29
DB00235,'Milrinone',14
DB00237,'Butabarbital',89
DB00240,'Alclometasone',16
DB00241,'Butalbital',89
DB00242,'Cladribine',69
DB00243,'Ranolazine',44
DB00244,'Mesalazine',177
DB00245,'Benzatropine',53
DB00246,'Ziprasidone',250
DB00247,'Methysergide',107
DB00248,'Cabergoline',263
DB00252,'Phenytoin',44
DB00253,'Medrysone',16
DB00255,'Diethylstilbestrol',92
DB00257,'Clotrimazole',40
DB00261,'Anagrelide',14
DB00262,'Carmustine',17
DB00264,'Metoprolol',72
DB00266,'Dicumarol',33
DB00268,'Ropinirole',249
DB00269,'Chlorotrianisene',68
DB00270,'Isradipine',50
DB00272,'Betazole',14
DB00273,'Topiramate',61
DB00275,'Olmesartan',45
DB00276,'Amsacrine',77
DB00277,'Theophylline',60
DB00278,'Argatroban',80
DB00279,'Liothyronine',53
DB00280,'Disopyramide',69
DB00281,'Lidocaine',132
DB00282,'Pamidronate',4
DB00283,'Clemastine',26
DB00284,'Acarbose',23
DB00285,'Venlafaxine',45
DB00286,'Conjugated Estrogens',68
DB00287,'Travoprost',16
DB00288,'Amcinonide',43
DB00289,'Atomoxetine',4
DB00290,'Bleomycin',17
DB00292,'Etomidate',54
DB00293,'Raltitrexed',16
DB00294,'Etonogestrel',69
DB00295,'Morphine',97
DB00296,'Ropivacaine',28
DB00297,'Bupivacaine',28
DB00298,'Dapiprazole',51
DB00302,'Tranexamic Acid',39
DB00304,'Desogestrel',69
DB00306,'Talbutal',89
DB00307,'Bexarotene',69
DB00308,'Ibutilide',98
DB00309,'Vindesine',4
DB00310,'Chlorthalidone',22
DB00311,'Ethoxzolamide',18
DB00312,'Pentobarbital',89
DB00313,'Valproic Acid',67
DB00315,'Zolmitriptan',42
DB00316,'Acetaminophen',60
DB00317,'Gefitinib',103
DB00318,'Codeine',97
DB00320,'Dihydroergotamine',170
DB00321,'Amitriptyline',271
DB00322,'Floxuridine',12
DB00323,'Tolcapone',11
DB00324,'Fluorometholone',16
DB00325,'Nitroprusside',33
DB00327,'Hydromorphone',97
DB00328,'Indomethacin',172
DB00331,'Metformin',21
DB00332,'Ipratropium bromide',30
DB00333,'Methadone',133
DB00334,'Olanzapine',276
DB00335,'Atenolol',44
DB00337,'Pimecrolimus',135
DB00338,'Omeprazole',36
DB00340,'Metixene',30
DB00341,'Cetirizine',26
DB00342,'Terfenadine',63
DB00343,'Diltiazem',28
DB00344,'Protriptyline',44
DB00346,'Alfuzosin',51
DB00347,'Trimethadione',32
DB00348,'Nitisinone',12
DB00349,'Clobazam',33
DB00350,'Minoxidil',35
DB00351,'Megestrol',26
DB00353,'Methylergonovine',62
DB00354,'Buclizine',41
DB00356,'Chlorzoxazone',40
DB00357,'Aminoglutethimide',22
DB00358,'Mefloquine',34
DB00360,'Tetrahydrobiopterin',4
DB00361,'Vinorelbine',12
DB00363,'Clozapine',250
DB00364,'Sucralfate',122
DB00366,'Doxylamine',41
DB00367,'Levonorgestrel',77
DB00368,'Norepinephrine',165
DB00370,'Mirtazapine',171
DB00371,'Meprobamate',18
DB00372,'Thiethylperazine',130
DB00373,'Timolol',72
DB00374,'Treprostinil',87
DB00376,'Trihexyphenidyl',30
DB00377,'Palonosetron',39
DB00378,'Dydrogesterone',23
DB00379,'Mexiletine',67
DB00380,'Dexrazoxane',54
DB00381,'Amlodipine',48
DB00382,'Tacrine',46
DB00383,'Oxyphencyclimine',30
DB00384,'Triamterene',31
DB00385,'Valrubicin',54
DB00386,'Alseroxylon',12
DB00387,'Procyclidine',30
DB00388,'Phenylephrine',4
DB00389,'Carbimazole',11
DB00390,'Digoxin',4
DB00391,'Sulpiride',102
DB00392,'Ethopropazine',60
DB00393,'Nimodipine',72
DB00394,'Beclometasone dipropionate',16
DB00396,'Progesterone',86
DB00397,'Phenylpropanolamine',166
DB00398,'Sorafenib',151
DB00399,'Zoledronate',11
DB00401,'Nisoldipine',42
DB00402,'Eszopiclone',25
DB00403,'Ceruletide',17
DB00404,'Alprazolam',33
DB00405,'Dexbrompheniramine',26
DB00407,'Ardeparin',17
DB00408,'Loxapine',137
DB00409,'Remoxipride',119
DB00411,'Carbachol',48
DB00412,'Rosiglitazone',126
DB00413,'Pramipexole',174
DB00414,'Acetohexamide',31
DB00416,'Metocurine Iodide',31
DB00418,'Secobarbital',89
DB00419,'Miglustat',14
DB00420,'Promazine',171
DB00421,'Spironolactone',69
DB00422,'Methylphenidate',45
DB00423,'Methocarbamol',11
DB00424,'Hyoscyamine',30
DB00425,'Zolpidem',17
DB00427,'Triprolidine',26
DB00428,'Streptozocin',16
DB00429,'Carboprost Tromethamine',16
DB00431,'Lindane',61
DB00432,'Trifluridine',12
DB00433,'Prochlorperazine',83
DB00434,'Cyproheptadine',53
DB00435,'Nitric Oxide',11
DB00436,'Bendroflumethiazide',69
DB00437,'Allopurinol',75
DB00439,'Cerivastatin',23
DB00440,'Trimethoprim',23
DB00441,'Gemcitabine',23
DB00443,'Betamethasone',16
DB00444,'Teniposide',54
DB00445,'Epirubicin',61
DB00446,'Chloramphenicol',4
DB00448,'Lansoprazole',36
DB00449,'Dipivefrin',160
DB00450,'Droperidol',106
DB00451,'Levothyroxine',53
DB00452,'Framycetin',49
DB00454,'Meperidine',65
DB00455,'Loratadine',26
DB00457,'Prazosin',74
DB00458,'Imipramine',136
DB00459,'Acitretin',124
DB00461,'Nabumetone',60
DB00462,'Methylscopolamine',30
DB00463,'Metharbital',89
DB00464,'Sodium Tetradecyl Sulfate',31
DB00465,'Ketorolac',60
DB00466,'Picrotoxin',44
DB00467,'Enoxacin',54
DB00468,'Quinine',40
DB00469,'Tenoxicam',60
DB00470,'Dronabinol',13
DB00471,'Montelukast',13
DB00472,'Fluoxetine',67
DB00473,'Hexylcaine',44
DB00474,'Methohexital',15
DB00475,'Chlordiazepoxide',33
DB00476,'Duloxetine',45
DB00477,'Chlorpromazine',161
DB00480,'Lenalidomide',112
DB00481,'Raloxifene',90
DB00482,'Celecoxib',102
DB00483,'Gallamine Triethiodide',73
DB00484,'Brimonidine',119
DB00486,'Nabilone',13
DB00487,'Pefloxacin',54
DB00489,'Sotalol',95
DB00490,'Buspirone',92
DB00491,'Miglitol',12
DB00492,'Fosinopril',29
DB00494,'Entacapone',11
DB00496,'Darifenacin',30
DB00497,'Oxycodone',97
DB00498,'Phenindione',4
DB00499,'Flutamide',92
DB00500,'Tolmetin',60
DB00501,'Cimetidine',14
DB00502,'Haloperidol',163
DB00504,'Levallorphan',95
DB00505,'Tridihexethyl',30
DB00508,'Triflupromazine',185
DB00509,'Dextrothyroxine',53
DB00511,'Acetyldigitoxin',39
DB00513,'Aminocaproic Acid',45
DB00514,'Dextromethorphan',76
DB00517,'Anisotropine Methylbromide',30
DB00518,'Albendazole',13
DB00519,'Trandolapril',29
DB00521,'Carteolol',101
DB00522,'Bentiromide',79
DB00523,'Alitretinoin',124
DB00524,'Metolazone',24
DB00527,'Dibucaine',76
DB00528,'Lercanidipine',28
DB00530,'Erlotinib',132
DB00532,'Mephenytoin',44
DB00533,'Rofecoxib',60
DB00534,'Chlormerodrin',33
DB00535,'Cefdinir',24
DB00536,'Guanidine',4
DB00537,'Ciprofloxacin',54
DB00539,'Toremifene',4
DB00540,'Nortriptyline',120
DB00541,'Vincristine',12
DB00542,'Benazepril',29
DB00543,'Amoxapine',238
DB00544,'Fluorouracil',4
DB00545,'Pyridostigmine',46
DB00546,'Adinazolam',32
DB00547,'Desoximetasone',16
DB00548,'Azelaic Acid',28
DB00549,'Zafirlukast',13
DB00550,'Propylthiouracil',11
DB00551,'Acetohydroxamic Acid',23
DB00552,'Pentostatin',27
DB00554,'Piroxicam',60
DB00555,'Lamotrigine',28
DB00557,'Hydroxyzine',26
DB00558,'Zanamivir',7
DB00559,'Bosentan',76
DB00561,'Doxapram',22
DB00562,'Benzthiazide',34
DB00563,'Methotrexate',18
DB00564,'Carbamazepine',44
DB00565,'Cisatracurium Besylate',31
DB00568,'Cinnarizine',68
DB00569,'Fondaparinux sodium',42
DB00570,'Vinblastine',13
DB00571,'Propranolol',73
DB00572,'Atropine',30
DB00573,'Fenoprofen',60
DB00574,'Fenfluramine',131
DB00575,'Clonidine',119
DB00579,'Mazindol',45
DB00580,'Valdecoxib',60
DB00583,'L-Carnitine',15
DB00584,'Enalapril',29
DB00585,'Nizatidine',14
DB00586,'Diclofenac',109
DB00587,'Cinalukast',13
DB00588,'Fluticasone Propionate',50
DB00589,'Lisuride',217
DB00590,'Doxazosin',74
DB00591,'Fluocinolone Acetonide',16
DB00592,'Piperazine',13
DB00593,'Ethosuximide',32
DB00594,'Amiloride',79
DB00596,'Halobetasol Propionate',16
DB00598,'Labetalol',90
DB00599,'Thiopental',94
DB00600,'Monobenzone',23
DB00602,'Ivermectin',27
DB00603,'Medroxyprogesterone',69
DB00604,'Cisapride',81
DB00605,'Sulindac',164
DB00606,'Cyclothiazide',51
DB00608,'Chloroquine',4
DB00610,'Metaraminol',50
DB00611,'Butorphanol',19
DB00612,'Bisoprolol',72
DB00613,'Amodiaquine',4
DB00615,'Rifabutin',4
DB00616,'Candoxatril',32
DB00617,'Paramethadione',31
DB00619,'Imatinib',202
DB00620,'Triamcinolone',16
DB00621,'Oxandrolone',69
DB00622,'Nicardipine',99
DB00623,'Fluphenazine',145
DB00624,'Testosterone',69
DB00626,'Bacitracin',84
DB00627,'Niacin',29
DB00628,'Clorazepate',40
DB00629,'Guanabenz',115
DB00630,'Alendronate',31
DB00631,'Clofarabine',34
DB00633,'Dexmedetomidine',115
DB00635,'Prednisone',16
DB00636,'Clofibrate',86
DB00637,'Astemizole',51
DB00640,'Adenosine',33
DB00641,'Simvastatin',23
DB00642,'Pemetrexed',35
DB00643,'Mebendazole',13
DB00644,'Gonadorelin',14
DB00645,'Dyclonine',28
DB00647,'Propoxyphene',109
DB00648,'Mitotane',18
DB00650,'Leucovorin',12
DB00651,'Dyphylline',53
DB00652,'Pentazocine',109
DB00653,'Magnesium Sulfate',4
DB00654,'Latanoprost',16
DB00655,'Estrone',68
DB00656,'Trazodone',216
DB00657,'Mecamylamine',31
DB00659,'Acamprosate',60
DB00661,'Verapamil',87
DB00663,'Flumethasone Pivalate',16
DB00665,'Nilutamide',69
DB00666,'Nafarelin',14
DB00667,'Histamine Phosphate',26
DB00668,'Epinephrine',174
DB00669,'Sumatriptan',42
DB00670,'Pirenzepine',30
DB00672,'Chlorpropamide',43
DB00673,'Aprepitant',19
DB00674,'Galantamine',46
DB00675,'Tamoxifen',137
DB00677,'Isoflurophate',46
DB00678,'Losartan',45
DB00679,'Thioridazine',179
DB00680,'Moricizine',44
DB00682,'Warfarin',4
DB00683,'Midazolam',33
DB00685,'Trovafloxacin',54
DB00686,'Pentosan Polysulfate',92
DB00687,'Fludrocortisone',70
DB00688,'Mycophenolate mofetil',19
DB00690,'Flurazepam',33
DB00691,'Moexipril',38
DB00692,'Phentolamine',133
DB00693,'Fluorescein',4
DB00694,'Daunorubicin',54
DB00695,'Furosemide',22
DB00696,'Ergotamine',208
DB00697,'Tizanidine',119
DB00699,'Nicergoline',50
DB00700,'Eplerenone',15
DB00703,'Methazolamide',18
DB00704,'Naltrexone',97
DB00706,'Tamsulosin',51
DB00707,'Porfimer',11
DB00708,'Sufentanil',96
DB00710,'Ibandronate',4
DB00711,'Diethylcarbamazine',21
DB00712,'Flurbiprofen',60
DB00714,'Apomorphine',252
DB00715,'Paroxetine',68
DB00716,'Nedocromil',30
DB00717,'Norethindrone',23
DB00719,'Azatadine',26
DB00720,'Clodronate',33
DB00721,'Procaine',68
DB00722,'Lisinopril',38
DB00723,'Methoxamine',50
DB00724,'Imiquimod',49
DB00725,'Homatropine Methylbromide',30
DB00726,'Trimipramine',126
DB00727,'Nitroglycerin',33
DB00728,'Rocuronium',43
DB00729,'Diphemanil Methylsulfate',25
DB00731,'Nateglinide',145
DB00732,'Atracurium',31
DB00733,'Pralidoxime',46
DB00734,'Risperidone',266
DB00735,'Naftifine',12
DB00736,'Esomeprazole',36
DB00737,'Meclizine',26
DB00738,'Pentamidine',4
DB00740,'Riluzole',71
DB00741,'Hydrocortisone',43
DB00744,'Zileuton',19
DB00745,'Modafinil',41
DB00747,'Scopolamine',36
DB00748,'Carbinoxamine',26
DB00749,'Etodolac',60
DB00750,'Prilocaine',44
DB00751,'Epinastine',47
DB00752,'Tranylcypromine',12
DB00753,'Isoflurane',155
DB00754,'Ethotoin',44
DB00755,'Tretinoin',66
DB00756,'Hexachlorophene',59
DB00757,'Dolasetron',39
DB00758,'Clopidogrel',10
DB00759,'Tetracycline',53
DB00761,'Potassium Chloride',4
DB00762,'Irinotecan',17
DB00763,'Methimazole',11
DB00764,'Mometasone',16
DB00765,'Metyrosine',4
DB00767,'Benzquinamide',41
DB00768,'Olopatadine',58
DB00769,'Hydrocortamate',16
DB00770,'Alprostadil',16
DB00771,'Clidinium',30
DB00772,'Malathion',19
DB00773,'Etoposide',54
DB00774,'Hydroflumethiazide',34
DB00775,'Tirofiban',67
DB00776,'Oxcarbazepine',44
DB00777,'Propiomazine',171
DB00778,'Roxithromycin',4
DB00780,'Phenelzine',46
DB00782,'Propantheline',30
DB00783,'Estradiol',90
DB00784,'Mefenamic acid',60
DB00785,'Cryptenamine',30
DB00786,'Marimastat',37
DB00788,'Naproxen',60
DB00789,'Gadopentetate dimeglumine',11
DB00790,'Perindopril',29
DB00792,'Tripelennamine',26
DB00794,'Primidone',89
DB00795,'Sulfasalazine',208
DB00796,'Candesartan',45
DB00797,'Tolazoline',146
DB00798,'Gentamicin',4
DB00799,'Tazarotene',122
DB00800,'Fenoldopam',150
DB00801,'Halazepam',32
DB00802,'Alfentanil',95
DB00804,'Dicyclomine',30
DB00805,'Minaprine',250
DB00806,'Pentoxifylline',56
DB00807,'Proparacaine',28
DB00808,'Indapamide',43
DB00809,'Tropicamide',30
DB00810,'Biperiden',48
DB00811,'Ribavirin',101
DB00812,'Phenylbutazone',82
DB00813,'Fentanyl',97
DB00814,'Meloxicam',60
DB00816,'Orciprenaline',64
DB00818,'Propofol',36
DB00819,'Acetazolamide',69
DB00820,'Tadalafil',33
DB00821,'Carprofen',60
DB00822,'Disulfiram',17
DB00823,'Ethynodiol Diacetate',69
DB00824,'Enprofylline',40
DB00825,'Menthol',25
DB00829,'Diazepam',40
DB00830,'Phenmetrazine',30
DB00831,'Trifluoperazine',146
DB00834,'Mifepristone',26
DB00835,'Brompheniramine',41
DB00836,'Loperamide',150
DB00837,'Progabide',36
DB00838,'Clocortolone',16
DB00839,'Tolazamide',31
DB00841,'Dobutamine',72
DB00842,'Oxazepam',33
DB00843,'Donepezil',45
DB00844,'Nalbuphine',109
DB00846,'Flurandrenolide',16
DB00847,'Cysteamine',4
DB00848,'Levamisole',56
DB00849,'Methylphenobarbital',89
DB00850,'Perphenazine',145
DB00851,'Dacarbazine',11
DB00852,'Pseudoephedrine',192
DB00854,'Levorphanol',97
DB00855,'Aminolevulinic acid',20
DB00857,'Terbinafine',12
DB00858,'Drostanolone',69
DB00860,'Prednisolone',16
DB00861,'Diflunisal',60
DB00862,'Vardenafil',32
DB00863,'Ranitidine',14
DB00864,'Tacrolimus',92
DB00865,'Benzphetamine',152
DB00866,'Alprenolol',74
DB00867,'Ritodrine',64
DB00868,'Benzonatate',44
DB00869,'Dorzolamide',18
DB00870,'Suprofen',60
DB00871,'Terbutaline',64
DB00872,'Conivaptan',45
DB00873,'Loteprednol',16
DB00875,'Flupenthixol',158
DB00876,'Eprosartan',45
DB00877,'Sirolimus',70
DB00880,'Chlorothiazide',34
DB00881,'Quinapril',29
DB00882,'Clomifene',113
DB00883,'Isosorbide Dinitrate',33
DB00884,'Risedronate',4
DB00885,'Pemirolast',26
DB00887,'Bumetanide',78
DB00889,'Granisetron',39
DB00890,'Dienestrol',68
DB00892,'Oxybuprocaine',28
DB00893,'Iron Dextran',28
DB00894,'Testolactone',19
DB00895,'Benzylpenicilloyl Polylysine',4
DB00896,'Rimexolone',16
DB00897,'Triazolam',33
DB00898,'Ethanol',107
DB00899,'Remifentanil',97
DB00900,'Didanosine',4
DB00901,'Bitolterol',4
DB00902,'Methdilazine',26
DB00903,'Ethacrynic acid',48
DB00904,'Ondansetron',51
DB00905,'Bimatoprost',31
DB00906,'Tiagabine',4
DB00907,'Cocaine',88
DB00908,'Quinidine',51
DB00909,'Zonisamide',80
DB00910,'Paricalcitol',69
DB00912,'Repaglinide',145
DB00913,'Anileridine',95
DB00914,'Phenformin',97
DB00915,'Amantadine',119
DB00917,'Dinoprostone',61
DB00918,'Almotriptan',32
DB00920,'Ketotifen',59
DB00921,'Buprenorphine',109
DB00922,'Levosimendan',85
DB00924,'Cyclobenzaprine',34
DB00925,'Phenoxybenzamine',160
DB00926,'Etretinate',124
DB00927,'Famotidine',14
DB00928,'Azacitidine',58
DB00929,'Misoprostol',61
DB00933,'Mesoridazine',101
DB00934,'Maprotiline',97
DB00935,'Oxymetazoline',133
DB00936,'Salicyclic acid',85
DB00937,'Diethylpropion',30
DB00938,'Salmeterol',64
DB00939,'Meclofenamic acid',69
DB00940,'Methantheline',31
DB00941,'Hexafluronium',19
DB00942,'Cycrimine',30
DB00944,'Demecarium',46
DB00945,'Acetylsalicylic acid',85
DB00946,'Phenprocoumon',4
DB00947,'Fulvestrant',68
DB00949,'Felbamate',44
DB00950,'Fexofenadine',26
DB00952,'Naratriptan',42
DB00953,'Rizatriptan',39
DB00956,'Hydrocodone',96
DB00957,'Norgestimate',69
DB00959,'Methylprednisolone',16
DB00960,'Pindolol',82
DB00961,'Mepivacaine',28
DB00962,'Zaleplon',15
DB00963,'Bromfenac',60
DB00964,'Apraclonidine',133
DB00966,'Telmisartan',138
DB00967,'Desloratadine',26
DB00968,'Methyldopa',4
DB00969,'Alosetron',39
DB00972,'Azelastine',26
DB00973,'Ezetimibe',47
DB00975,'Dipyridamole',50
DB00977,'Ethinyl Estradiol',82
DB00978,'Lomefloxacin',54
DB00979,'Cyclopentolate',30
DB00980,'Ramelteon',4
DB00981,'Physostigmine',45
DB00982,'Isotretinoin',4
DB00983,'Formoterol',64
DB00984,'Nandrolone phenpropionate',69
DB00985,'Dimenhydrinate',26
DB00986,'Glycopyrrolate',30
DB00987,'Cytarabine',19
DB00988,'Dopamine',163
DB00989,'Rivastigmine',46
DB00990,'Exemestane',19
DB00991,'Oxaprozin',60
DB00992,'Methyl aminolevulinate',11
DB00993,'Azathioprine',29
DB00995,'Auranofin',94
DB00996,'Gabapentin',34
DB00997,'Doxorubicin',54
DB00998,'Frovatriptan',32
DB00999,'Hydrochlorothiazide',34
DB01001,'Salbutamol',72
DB01002,'Levobupivacaine',28
DB01003,'Cromoglicic acid',46
DB01005,'Hydroxyurea',13
DB01006,'Letrozole',19
DB01007,'Tioconazole',4
DB01009,'Ketoprofen',60
DB01010,'Edrophonium',46
DB01011,'Metyrapone',18
DB01012,'Cinacalcet',23
DB01013,'Clobetasol',16
DB01014,'Balsalazide',161
DB01016,'Glyburide',142
DB01017,'Minocycline',173
DB01018,'Guanfacine',115
DB01019,'Bethanechol',16
DB01020,'Isosorbide Mononitrate',11
DB01021,'Trichlormethiazide',57
DB01022,'Phytonadione',15
DB01023,'Felodipine',65
DB01024,'Mycophenolic acid',19
DB01025,'Amlexanox',84
DB01028,'Methoxyflurane',155
DB01029,'Irbesartan',45
DB01030,'Topotecan',17
DB01031,'Ethinamate',17
DB01032,'Probenecid',50
DB01033,'Mercaptopurine',29
DB01034,'Cerulenin',17
DB01035,'Procainamide',44
DB01036,'Tolterodine',30
DB01037,'Selegiline',12
DB01038,'Carphenazine',122
DB01039,'Fenofibrate',86
DB01041,'Thalidomide',228
DB01043,'Memantine',55
DB01045,'Rifampin',49
DB01046,'Lubiprostone',26
DB01047,'Fluocinonide',16
DB01049,'Ergoloid mesylate',143
DB01050,'Ibuprofen',60
DB01054,'Nitrendipine',50
DB01055,'Mimosine',86
DB01056,'Tocainide',44
DB01057,'Echothiophate',19
DB01059,'Norfloxacin',54
DB01062,'Oxybutynin',30
DB01063,'Acetophenazine',122
DB01064,'Isoproterenol',136
DB01065,'Melatonin',121
DB01067,'Glipizide',145
DB01068,'Clonazepam',33
DB01069,'Promethazine',141
DB01070,'Dihydrotachysterol',69
DB01071,'Mequitazine',26
DB01073,'Fludarabine',49
DB01074,'Perhexiline',15
DB01075,'Diphenhydramine',26
DB01076,'Atorvastatin',72
DB01077,'Etidronic acid',22
DB01078,'Deslanoside',39
DB01079,'Tegaserod',107
DB01080,'Vigabatrin',51
DB01081,'Diphenoxylate',96
DB01083,'Orlistat',23
DB01084,'Emedastine',26
DB01085,'Pilocarpine',30
DB01086,'Benzocaine',28
DB01087,'Primaquine',12
DB01088,'Iloprost',81
DB01089,'Deserpidine',12
DB01090,'Pentolinium',51
DB01091,'Butenafine',12
DB01092,'Ouabain',39
DB01094,'Hesperetin',41
DB01095,'Fluvastatin',23
DB01097,'Leflunomide',120
DB01098,'Rosuvastatin',23
DB01099,'Flucytosine',4
DB01100,'Pimozide',158
DB01101,'Capecitabine',12
DB01102,'Arbutamine',73
DB01103,'Quinacrine',24
DB01104,'Sertraline',43
DB01105,'Sibutramine',45
DB01106,'Levocabastine',26
